name,base_data,new_data
google.golang.org/genproto,['v0.0.0-20220126215142-9970aeb2e350' 'v0.0.0-20220624142145-8cd45d7dbd1f' 'v0.0.0-20200224152610-e50cd9704f63' 'v0.0.0-20191223191004-3caeed10a8bf' 'v0.0.0-20220310185008-1973136f34c6' 'v0.0.0-20210831024726-fe130286e0e2' 'v0.0.0-20220519153652-3a47de7e79bd'],[]
google.golang.org/grpc,['v1.40.0' 'v1.43.0' 'v1.44.0' 'v1.28.1' 'v1.48.0' 'v1.47.0'],[]
google.golang.org/protobuf,['v1.28.0' 'v1.27.1'],[]
gopkg.in/ini.v1,['v1.66.2' 'v1.66.6' 'v1.66.4' 'v1.62.0'],[]
gopkg.in/square/go-jose.v2,['v2.5.1'],[]
gopkg.in/yaml.v2,['v2.2.8' 'v2.3.0'],[]
gopkg.in/yaml.v3,['v3.0.0-20210107192922-496545a6307b' 'v3.0.0-20200313102051-9f266ea9e77c' 'v3.0.0-20191026110619-0b21df46bc1d'],[]
gpg,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gpg-agent,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gpg-wks-client,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gpg-wks-server,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gpgconf,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gpgsm,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
gpgv,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
guava,['30.1.1-jre' '27.1-jre' '19.0'],[]
guice,['4.2.2-no_aop'],['4.2.1-no_aop']
gzip,['1.6-5ubuntu1.2'],['1.6-5ubuntu1']
hawtjni-runtime,['1.17'],['1.16']
httpclient,['4.5.13' '4.5.10'],['4.5.9']
httpcore,['4.4.15' '4.4.12' '4.4.13' '4.4.14'],['4.4.11']
icu-devtools,['60.2-3ubuntu3.2'],['60.2-3ubuntu3.1']
idna,[],['2.10']
importlib-metadata,['2.1.3' '4.12.0' '4.8.3'],['3.10.0']
initramfs-tools,['0.130ubuntu3.13'],['0.130ubuntu3.11']
initramfs-tools-bin,['0.130ubuntu3.13'],['0.130ubuntu3.11']
initramfs-tools-core,['0.130ubuntu3.13'],['0.130ubuntu3.11']
isc-dhcp-client,['4.3.5-3ubuntu7.3'],['4.3.5-3ubuntu7.2']
isc-dhcp-common,['4.3.5-3ubuntu7.3'],['4.3.5-3ubuntu7.2']
jansi,['1.18' '2.4.0'],['1.17.1']
jcl-over-slf4j,['1.7.30' '1.7.36'],['1.7.29']
jrt-fs,['10.0.2' '11.0.16' '17.0.1' '9.0.4' '11.0.15.1'],['11.0.10']
jsonschema,[],['3.2.0']
jsoup,['1.14.2' '1.15.1'],['1.12.1']
k8s.io/api,['v0.22.5' 'v0.22.4' 'v0.18.3' 'v0.21.6' 'v0.24.3'],[]
